,T_004,T_005,T_010,T_011,T_018,T_019,T_025,T_026,T_031,T_032,T_038,T_039,T_042,T_043,T_045,T_046,T_048,T_049,T_051,T_052,T_053,T_054,T_056,T_057,T_059,T_060,T_061,T_062,T_063,T_064,T_066,T_067,T_069,T_070,T_071,T_072,T_074,T_075,T_077,T_078,T_080,T_081,T_082,T_083,T_084,T_085,T_087,T_088,T_090,T_091,T_093,T_094,T_096,T_097,T_098,T_099,T_101,T_102
hsa-miR-6877-3p,1.565466259,0,2.697396897,0,0.881958297,0,1.428320339,0,0,0,0,0,0,0.667690608,0,0,0.615327754,0,0,0,0,0,0,0,0,0,0,0,0.711632444,0,0,0,0,0,0,1.297402604,1.283903375,0,0,0,0,1.218681105,1.939877425,0,0,0,1.35318577,2.144475417,0,0,0,0,1.279622106,1.105921366,0,0,0,1.470573429
hsa-miR-6877-5p,1.565466259,1.493070959,0.44956615,3.110125131,2.64587489,2.662231681,1.785400424,2.392662377,2.278835746,2.310519739,0,1.278238688,2.294736766,1.201843094,1.625686277,0,1.230655508,0.998968025,0.345303832,1.597550451,3.413180688,1.454336307,5.473788195,3.445097006,0,0,0,5.826990813,1.423264888,0,0.266823721,0,2.66520636,2.454391124,0,0,1.797464725,1.123865735,10.56734436,11.30683816,13.55377829,2.071757879,1.357914197,1.267727019,3.037780875,3.090954619,2.029778655,1.930027875,0,0,2.618018158,1.090384047,2.399291449,0,0,0,2.756914422,2.647032171
hsa-miR-6878-3p,0,0,0,0,0,0,0,2.576713329,1.367301448,1.540346493,0,0,0,1.068304973,0,0,1.599852161,1.498452038,0,0,2.792602381,0,0,0,0,0,1.682920726,0,0,0,0,0,0,0,0,1.433971299,1.155513037,0,0,0,2.258963049,1.828021658,0.581963227,1.394499721,0,0,2.706371541,1.715580333,0,0,0,1.635576071,1.359598487,1.105921366,3.353798831,0,0,1.470573429
hsa-miR-6878-5p,0,0,0,0,0,2.662231681,1.547347034,2.208611425,0,1.694381142,0,0,0,0,0,0,1.47678661,0.998968025,1.899171078,1.171536998,0,0,0,0,0,0,1.542677332,0,1.77908111,0,0,0,0,1.753136517,0.701109268,1.98024608,0.962927531,0,0,0,1.505975366,1.949889768,1.745889682,1.394499721,1.518890438,0,2.029778655,0.428895083,0,0,0,2.180768095,1.199645724,0.921601139,2.235865887,0,0,0
hsa-miR-6879-3p,0,1.791685151,0,0,0,0,0,0,0.455767149,0,0,0,0,0,0,0,1.47678661,0,1.381215329,0,0,0,0,1.148365669,0,0,0,0,0,0,0,0,0,0,0,0.955980866,1.219708206,4.495462942,3.712850721,0,0,0,0.77595097,1.394499721,1.16837726,0,0,0,0,0,0,0,0.959716579,0,0,0,0,0
hsa-miR-6879-5p,0,1.940992247,0,0,0,0,1.19026695,2.392662377,2.278835746,2.15648509,0.907505466,1.438018524,0,1.602457459,0,0,1.230655508,1.83144138,2.417126826,2.236570632,2.016879498,2.908672613,0,1.531154225,2.085447466,0,0,1.120575156,0.355816222,2.381215979,2.134589768,0,1.77680424,0,0.701109268,2.185099122,1.155513037,1.123865735,5.997681935,0,1.807170439,1.706153547,2.32785291,2.155135932,2.103079068,0,2.706371541,0.428895083,0,0.911517684,1.540010681,0.545192024,1.359598487,1.65888205,0,0.897696928,0,2.0588028
hsa-miR-6880-3p,0,1.791685151,0,0,0,0,0,0,0,1.694381142,0,0,0,0,0,0.61069082,0,0.499484013,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051917137,0,0,0,1.433971299,1.604879218,1.123865735,0,0,1.807170439,1.218681105,0,0,2.453592245,0,2.029778655,0.214447542,0,0,0,0.545192024,1.199645724,0,0,0,0,0
hsa-miR-6881-3p,1.204204815,1.642378055,1.348698449,1.943828207,1.763916593,0,0,2.208611425,2.506719321,0,0,1.59779836,0.983458614,1.335381216,0,1.424945247,1.230655508,0,2.071822994,0,2.637457805,0,0,0,1.191684266,0,0,0,0,0.43294836,0,0.701278092,0,0,1.869624715,1.843677384,1.219708206,2.247731471,0,0,2.710755658,0,2.715828395,2.155135932,0,0,0,0,0,4.557588421,0.616004273,0,1.679504014,0.921601139,0,0,1.837942948,1.470573429
hsa-miR-6881-5p,0,1.493070959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035911497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.707108689,1.0271227,0,0,0,1.656572902,0,0,1.521272423,0,0,0,0,0,0,0,0,1.279622106,0,0,0,0,0
hsa-miR-6882-3p,0,0,0,0,0,0,0,0,2.734602896,1.386311843,0,0,0,0,0,0,1.107589957,1.83144138,0.863259581,1.171536998,0,1.454336307,0,0,0,0,0,0,0,0,0,0,1.4806702,0,0,0.819412171,0.641951687,0,0,0,0,0,1.939877425,1.267727019,5.491373121,0,0,0,0,0,0,0.545192024,1.119669343,1.105921366,0,0,0,0
